Customer_ID,Age,Gender,Income,Education,Marital_Status,City,Subscription_Type,Monthly_Spend,Satisfaction_Score,Churn_Risk
C001,28,Male,65000,Bachelor,Married,New York,Premium,89.50,4.2,Low
C002,35,Female,85000,Master,Single,Los Angeles,Basic,45.25,3.8,Medium
C003,42,Male,120000,PhD,Married,Chicago,Premium,125.75,4.5,Low
C004,25,Female,45000,High School,Single,Miami,Basic,32.00,3.5,High
C005,38,Male,95000,Bachelor,Married,Seattle,Premium,98.25,4.3,Low
C006,31,Female,72000,Master,Single,Boston,Standard,67.50,4.0,Medium
C007,29,Male,58000,Bachelor,Married,Denver,Basic,38.75,3.7,Medium
C008,45,Female,110000,Master,Divorced,Atlanta,Premium,115.00,4.4,Low
C009,22,Male,35000,High School,Single,Phoenix,Basic,25.50,3.2,High
C010,33,Female,78000,Bachelor,Married,Portland,Standard,72.25,4.1,Medium
C011,27,Male,62000,Master,Single,San Diego,Basic,42.00,3.6,Medium
C012,40,Female,105000,PhD,Married,Austin,Premium,108.75,4.6,Low
C013,24,Male,42000,High School,Single,Las Vegas,Basic,28.25,3.3,High
C014,36,Female,88000,Bachelor,Married,Minneapolis,Standard,85.50,4.2,Low
C015,30,Male,68000,Master,Single,Orlando,Basic,48.75,3.8,Medium
C016,43,Female,115000,PhD,Divorced,San Francisco,Premium,132.00,4.7,Low
C017,26,Male,55000,Bachelor,Single,Detroit,Basic,35.25,3.4,High
C018,34,Female,82000,Master,Married,Philadelphia,Standard,78.50,4.0,Medium
C019,28,Male,64000,Bachelor,Single,Houston,Basic,44.00,3.7,Medium
C020,39,Female,98000,PhD,Married,Dallas,Premium,102.25,4.4,Low
C021,23,Male,38000,High School,Single,Columbus,Basic,26.75,3.1,High
C022,37,Female,92000,Bachelor,Married,Indianapolis,Standard,88.75,4.3,Low
C023,32,Male,71000,Master,Single,Charlotte,Basic,52.50,3.9,Medium
C024,41,Female,108000,PhD,Divorced,San Antonio,Premium,118.00,4.5,Low
C025,25,Male,48000,Bachelor,Single,Memphis,Basic,31.25,3.5,High
C026,35,Female,86000,Master,Married,Baltimore,Standard,82.25,4.1,Medium
C027,29,Male,66000,Bachelor,Single,Fort Worth,Basic,46.75,3.8,Medium
C028,44,Female,112000,PhD,Married,El Paso,Premium,125.50,4.6,Low
C029,21,Male,32000,High School,Single,Seattle,Basic,24.00,3.0,High
C030,38,Female,94000,Bachelor,Married,Denver,Standard,90.25,4.2,Low 