Date,Product,Category,Region,Sales_Amount,Quantity,Profit_Margin,Customer_Satisfaction
2024-01-15,Laptop,Electronics,North,1200.50,2,0.25,4.2
2024-01-16,Phone,Electronics,South,800.00,1,0.30,4.5
2024-01-17,Desk,Furniture,East,450.75,1,0.20,3.8
2024-01-18,Chair,Furniture,West,299.99,3,0.15,4.1
2024-01-19,Tablet,Electronics,North,650.00,1,0.28,4.3
2024-01-20,Bookshelf,Furniture,South,180.50,2,0.12,3.9
2024-01-21,Monitor,Electronics,East,350.00,1,0.22,4.0
2024-01-22,Printer,Electronics,West,420.75,1,0.18,3.7
2024-01-23,Lamp,Furniture,North,89.99,4,0.10,4.4
2024-01-24,Keyboard,Electronics,South,75.25,5,0.25,4.6
2024-01-25,Table,Furniture,East,599.99,1,0.18,3.6
2024-01-26,Mouse,Electronics,West,45.00,8,0.30,4.7
2024-01-27,Sofa,Furniture,North,1200.00,1,0.15,4.2
2024-01-28,Headphones,Electronics,South,150.50,3,0.35,4.8
2024-01-29,Bookshelf,Furniture,East,200.00,2,0.12,3.5
2024-01-30,Webcam,Electronics,West,120.75,2,0.28,4.1
2024-02-01,Laptop,Electronics,North,1250.00,1,0.26,4.3
2024-02-02,Phone,Electronics,South,850.00,1,0.32,4.4
2024-02-03,Desk,Furniture,East,475.25,1,0.21,3.9
2024-02-04,Chair,Furniture,West,325.00,2,0.16,4.0
2024-02-05,Tablet,Electronics,North,675.50,1,0.29,4.2
2024-02-06,Bookshelf,Furniture,South,190.00,1,0.13,3.8
2024-02-07,Monitor,Electronics,East,375.25,1,0.23,4.1
2024-02-08,Printer,Electronics,West,445.00,1,0.19,3.6
2024-02-09,Lamp,Furniture,North,95.50,3,0.11,4.3
2024-02-10,Keyboard,Electronics,South,80.00,4,0.26,4.5
2024-02-11,Table,Furniture,East,625.75,1,0.19,3.7
2024-02-12,Mouse,Electronics,West,50.25,6,0.31,4.6
2024-02-13,Sofa,Furniture,North,1300.00,1,0.16,4.1
2024-02-14,Headphones,Electronics,South,165.00,2,0.36,4.7
2024-02-15,Bookshelf,Furniture,East,210.50,1,0.13,3.4
2024-02-16,Webcam,Electronics,West,125.00,3,0.29,4.0 